Scientific Name,Root,URL,USDA Symbol
Hypericum prolificum,PrairieMoon.com,https://www.prairiemoon.com/hypericum-prolificum-shrubby-st-johns-wort-prairie-moon-nursery.html,HYPR
Hypericum punctatum,PrairieMoon.com,https://www.prairiemoon.com/hypericum-punctatum-dotted-st-johns-wort-prairie-moon-nursery.html,HYPU
Hypericum sphaerocarpum,PrairieMoon.com,https://www.prairiemoon.com/hypericum-sphaerocarpum-round-fruited-st-johns-wort-prairie-moon-nursery.html,HYSP2
Ilex verticillata,PrairieMoon.com,https://www.prairiemoon.com/ilex-verticillata-winterberry-holly-prairie-moon-nursery.html,ILVE
Impatiens capensis,PrairieMoon.com,https://www.prairiemoon.com/impatiens-capensis-spotted-touch-me-not-prairie-moon-nursery.html,IMCA
Impatiens pallida,PrairieMoon.com,https://www.prairiemoon.com/impatiens-pallida-yellow-jewelweed-prairie-moon-nursery.html,IMPA
Juncus canadensis,PrairieMoon.com,https://www.prairiemoon.com/juncus-canadensis-canada-rush-prairie-moon-nursery.html,JUCA3
Juncus dudleyi,PrairieMoon.com,https://www.prairiemoon.com/juncus-dudleyi-dudleys-rush-prairie-moon-nursery.html,JUDU2
Juncus effusus,PrairieMoon.com,https://www.prairiemoon.com/juncus-effusus-common-rush-prairie-moon-nursery.html,JUEF
Juncus tenuis,PrairieMoon.com,https://www.prairiemoon.com/juncus-tenuis-path-rush-prairie-moon-nursery.html,JUTE
Juncus torreyi,PrairieMoon.com,https://www.prairiemoon.com/juncus-torreyi-torreys-rush-prairie-moon-nursery.html,JUTO
Koeleria macrantha,PrairieMoon.com,https://www.prairiemoon.com/koeleria-macrantha-june-grass-prairie-moon-nursery.html,KOMA
Krigia biflora,PrairieMoon.com,https://www.prairiemoon.com/krigia-biflora-cynthia-prairie-moon-nursery.html,KRBI
Lathyrus venosus,PrairieMoon.com,https://www.prairiemoon.com/lathyrus-venosus-veiny-pea-prairie-moon-nursery.html,LAVE
Leersia lenticularis,PrairieMoon.com,https://www.prairiemoon.com/leersia-lenticularis-catchfly-grass-prairie-moon-nursery.html,LELE2
Leersia oryzoides,PrairieMoon.com,https://www.prairiemoon.com/leersia-oryzoides-rice-cut-grass-prairie-moon-nursery.html,LEOR
Lespedeza capitata,PrairieMoon.com,https://www.prairiemoon.com/lespedeza-capitata-round-headed-bush-clover-prairie-moon-nursery.html,LECA8
Lespedeza virginica,PrairieMoon.com,https://www.prairiemoon.com/lespedeza-virginica-slender-bush-clover-prairie-moon-nursery.html,LEVI7
Liatris aspera,PrairieMoon.com,https://www.prairiemoon.com/liatris-aspera-button-blazing-star-prairie-moon-nursery.html,LIAS
Liatris cylindracea,PrairieMoon.com,https://www.prairiemoon.com/liatris-cylindracea-dwarf-blazing-star-prairie-moon-nursery.html,LICY
