Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
BOPE2,,Bothriochloa pertusa (L.) A. Camus,pitted beardgrass
BORO5,,Bolboschoenus robustus (Pursh) Soják,sturdy bulrush
BORO5,SCRO5,Schoenoplectus robustus (Pursh) M.T. Strong,
BOSA,,Bothriochloa saccharoides (Sw.) Rydb.,silver bluestem
BOVI,,Botrychium virginianum (L.) Sw.,rattlesnake fern
BRAN,,Bromus anomalus Rupr. ex Fourn.,nodding brome
BRAR5,,Bromus arvensis L.,field brome
BRBI2,,Bromus biebersteinii Roem. & Schult. [excluded],meadow brome
BRBR5,,Bromus briziformis Fisch. & C.A. Mey.,rattlesnake brome
BRCA5,,Bromus carinatus Hook. & Arn.,California brome
BRCA6,,Bromus catharticus Vahl,rescuegrass
BRCI2,,Bromus ciliatus L.,fringed brome
BRHOH,,Bromus hordeaceus L. ssp. hordeaceus,soft brome
BRIN2,,Bromus inermis Leyss.,smooth brome
BRJU,,Brassica juncea (L.) Czern.,brown mustard
BRKA2,,Bromus kalmii A. Gray,arctic brome
BRMA,,Briza maxima L.,big quakinggrass
BRMA4,,Bromus marginatus Nees ex Steud.,mountain brome
BRNA,,Brassica napus L.,rape
BRPI4,,Bromelia pinguin L.,pinguin
BRRA,,Brassica rapa L.,field mustard
BRRU2,,Bromus rubens L.,red brome
BRSI,,Bromus sitchensis Trin.,Alaska brome
BRVU,,Bromus vulgaris (Hook.) Shear,Columbia brome
BUBU,,Bucida buceras L.,gregorywood
BUSI,,Bursera simaruba (L.) Sarg.,gumbo limbo
BYSP,,Byrsonima spicata (Cav.) Kunth,doncella
BYSP,BYCO2,Byrsonima coriacea (Sw.) DC.,
CAAB5,,Carex abscondita Mack.,thicket sedge
CAAL5,,Carex albolutescens Schwein.,greenwhite sedge
CAAM13,,Capparis amplissima Lam.,burro blanco
CAAM18,,Campanulastrum americanum (L.) Small,American bellflower
CAAM2,,Callicarpa americana L.,American beautyberry
CAAM8,,Carex amphibola Steud.,eastern narrowleaf sedge
CAAN22,,Calophyllum antillanum Britton,Antilles calophyllum
CAAN7,,Castilleja angustifolia (Nutt.) G. Don,northwestern Indian paintbrush
CAAP2,,Campanula aparinoides Pursh,marsh bellflower
CAAP3,,Carex aperta Boott,Columbian sedge
CAAP4,,Castilleja applegatei Fernald,wavyleaf Indian paintbrush
CAAQ,,Carex aquatilis Wahlenb.,water sedge
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CAAR8,,Casearia arborea (Rich.) Urb.,gia verde
CAAT2,,Carex atherodes Spreng.,wheat sedge
CAAT3,,Carex athrostachya Olney,slenderbeak sedge
CAAT4,,Carex atlantica L.H. Bailey,prickly bog sedge
CAAU3,,Carex aurea Nutt.,golden sedge
CABA2,,Capparis baducca L.,caper
CABA7,,Carex baileyi Britton,Bailey's sedge
CABE2,,Carex bebbii Olney ex Fernald,Bebb's sedge
CABE3,,Carex bella L.H. Bailey,southwestern showy sedge
CABI3,,Carex bicknellii Britton,Bicknell's sedge
CABI5,,Carex bigelowii Torr. ex Schwein.,Bigelow's sedge
CABI8,,Catalpa bignonioides Walter,southern catalpa
CABL,,Carex blanda Dewey,eastern woodland sedge
CABR,,Calamagrostis breweri Thurb.,shorthair reedgrass
CABRB,,Cardamine breweri S. Watson var. breweri,Brewer's bittercress
CABU3,,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",bulbous bittercress
CABU5,,Carex bushii Mack.,Bush's sedge
CACA,,Cabomba caroliniana A. Gray,Carolina fanwort
CACA11,,Carex canescens L.,silvery sedge
CACA12,,Carex capillaris L.,hair-like sedge
CACA18,,Carpinus caroliniana Walter,American hornbeam
CACA27,,Cajanus cajan (L.) Millsp.,pigeonpea
CACA4,,Calamagrostis canadensis (Michx.) P. Beauv.,bluejoint
CACE,,Carex cephalophora Muhl. ex Willd.,oval-leaf sedge
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CACO17,,Castilleja coccinea (L.) Spreng.,scarlet Indian paintbrush
CACO6,,Cardamine cordifolia A. Gray,heartleaf bittercress
CACO71,,Calamagrostis coarctata Eaton,Nuttall's reedgrass
CACO8,,Carex comosa Boott,longhair sedge
CACR6,,Carex crinita Lam.,fringed sedge
CACR7,,Carex cristatella Britton,crested sedge
CACR8,,Carex crus-corvi Shuttlw. ex Kunze,ravenfoot sedge
CACU8,,Casuarina cunninghamiana Miq.,river sheoak
CACY,,Capparis cynophallophora L.,Jamaican caper
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CADE27,,Calocedrus decurrens (Torr.) Florin,incense cedar
CADE5,,Carex debilis Michx.,white edge sedge
CADE6,,Carex decomposita Muhl.,cypressknee sedge
CADE9,,Carex deweyana Schwein.,Dewey sedge
CADI4,,Carex diandra Schrank,lesser panicled sedge
CADI6,,Carex disperma Dewey,softleaf sedge
CADO,,Cardamine douglassii Britton,limestone bittercress
CADO2,,Carex douglasii Boott,Douglas' sedge
CAEC,,Carex echinata Murray,star sedge
